"","tweets.text"
"1","#paymentwall is good"
"2","@NathanKuijt PayGol Paymentwall Paysafecard"
"3","RT @paymentwall: Paymentwall partners with @Stardekk to help hotels powered by @Cubilis with online payments. Go global now! https://t.co/e…"
"4","Sales Representative: Paymentwall Location : Amsterdam NH NL Individual career path. For our Amsterdam office we... https://t.co/So8Oo5NYHr"
"5","Sales Representative: Paymentwall Location : Amsterdam NH NL Individual career path. For our Amsterdam office we... https://t.co/GF3t8LpA10"
"6","Paymentwall partners with @Stardekk to help hotels powered by @Cubilis with online payments. Go global now!… https://t.co/gVWbcnFgUG"
"7","A safe and secure environment for online payments!! @paymentwall talks up security of online payments in #Sweden <ed><U+00A0><U+00BD><ed><U+00B1><U+008F>… https://t.co/c0lGy8kVsO"
"8","@chrduong Hey I have been contacted previously by your company , but never heard back.  Would Paymentwall like to join us at the CNP Expo?"
"9","@VenomNetwork_ Van a sacar paymentwall...?"
"10","Making Payments Great Again #PAYMENTS2017 https://t.co/ip0vN7mgxU"
"11","Compliance Analyst – Paymentwall Inc. – London – London Jobs https://t.co/3iX1hHfPz5"
